matched_pair_id,metric,control_value,plating_value,plating_minus_control,stress_label,stress_order
pair_25C_1C,U_end_V,2.768018699329033,2.7680189727331452,2.73404112238751e-07,25 °C / 1C,0
pair_10C_1C,U_end_V,2.910553880997327,2.910561367728725,7.486731398387292e-06,10 °C / 1C,1
pair_10C_2C,U_end_V,2.910552201256151,2.9105624334068665,1.023215071560557e-05,10 °C / 2C,2
pair_25C_1C,charge_Ah,4.783172277509163,4.780597329530415,-0.002574947978748,25 °C / 1C,0
pair_10C_1C,charge_Ah,4.725712590120275,4.718561283597151,-0.0071513065231236,10 °C / 1C,1
pair_10C_2C,charge_Ah,4.723348904770159,4.713700836266107,-0.0096480685040516,10 °C / 2C,2
pair_25C_1C,discharge_Ah,4.97810090639251,4.975338098473619,-0.0027628079188906,25 °C / 1C,0
pair_10C_1C,discharge_Ah,4.880210085008804,4.872680144336678,-0.0075299406721267,10 °C / 1C,1
pair_10C_2C,discharge_Ah,4.877728120770887,4.867616264116866,-0.0101118566540208,10 °C / 2C,2
pair_25C_1C,duration_min,396.6360767277304,396.1886552964218,-0.4474214313086122,25 °C / 1C,0
pair_10C_1C,duration_min,420.2585026147432,419.0007662581222,-1.257736356620967,10 °C / 1C,1
pair_10C_2C,duration_min,412.31967566242633,410.5368476263539,-1.782828036072431,10 °C / 2C,2
pair_25C_1C,net_charge_Ah,-0.1949286288833471,-0.1947407689432045,0.0001878599401426,25 °C / 1C,0
pair_10C_1C,net_charge_Ah,-0.1544974948885293,-0.1541188607395263,0.0003786341490029,10 °C / 1C,1
pair_10C_2C,net_charge_Ah,-0.154379216000728,-0.1539154278507588,0.0004637881499691,10 °C / 2C,2
pair_25C_1C,throughput_Ah,9.761273183901672,9.755935428004031,-0.0053377558976404,25 °C / 1C,0
pair_10C_1C,throughput_Ah,9.60592267512908,9.591241427933827,-0.0146812471952522,10 °C / 1C,1
pair_10C_2C,throughput_Ah,9.601077025541043,9.581317100382972,-0.0197599251580715,10 °C / 2C,2
